,realtime_start,realtime_end,date,value
0,2025-08-18,2025-08-18,2000-01-01,6.44
1,2025-08-18,2025-08-18,2000-02-01,6.61
2,2025-08-18,2025-08-18,2000-03-01,6.53
3,2025-08-18,2025-08-18,2000-04-01,6.4
4,2025-08-18,2025-08-18,2000-05-01,6.81
5,2025-08-18,2025-08-18,2000-06-01,6.48
6,2025-08-18,2025-08-18,2000-07-01,6.34
7,2025-08-18,2025-08-18,2000-08-01,6.23
8,2025-08-18,2025-08-18,2000-09-01,6.08
9,2025-08-18,2025-08-18,2000-10-01,5.91
10,2025-08-18,2025-08-18,2000-11-01,5.88
11,2025-08-18,2025-08-18,2000-12-01,5.35
12,2025-08-18,2025-08-18,2001-01-01,4.76
13,2025-08-18,2025-08-18,2001-02-01,4.66
14,2025-08-18,2025-08-18,2001-03-01,4.34
15,2025-08-18,2025-08-18,2001-04-01,4.23
16,2025-08-18,2025-08-18,2001-05-01,4.26
17,2025-08-18,2025-08-18,2001-06-01,4.08
18,2025-08-18,2025-08-18,2001-07-01,4.04
19,2025-08-18,2025-08-18,2001-08-01,3.76
20,2025-08-18,2025-08-18,2001-09-01,3.12
21,2025-08-18,2025-08-18,2001-10-01,2.73
22,2025-08-18,2025-08-18,2001-11-01,2.78
23,2025-08-18,2025-08-18,2001-12-01,3.11
24,2025-08-18,2025-08-18,2002-01-01,3.03
25,2025-08-18,2025-08-18,2002-02-01,3.02
26,2025-08-18,2025-08-18,2002-03-01,3.56
27,2025-08-18,2025-08-18,2002-04-01,3.42
28,2025-08-18,2025-08-18,2002-05-01,3.26
29,2025-08-18,2025-08-18,2002-06-01,2.99
30,2025-08-18,2025-08-18,2002-07-01,2.56
31,2025-08-18,2025-08-18,2002-08-01,2.13
32,2025-08-18,2025-08-18,2002-09-01,2.0
33,2025-08-18,2025-08-18,2002-10-01,1.91
34,2025-08-18,2025-08-18,2002-11-01,1.92
35,2025-08-18,2025-08-18,2002-12-01,1.84
36,2025-08-18,2025-08-18,2003-01-01,1.74
37,2025-08-18,2025-08-18,2003-02-01,1.63
38,2025-08-18,2025-08-18,2003-03-01,1.57
39,2025-08-18,2025-08-18,2003-04-01,1.62
40,2025-08-18,2025-08-18,2003-05-01,1.42
41,2025-08-18,2025-08-18,2003-06-01,1.23
42,2025-08-18,2025-08-18,2003-07-01,1.47
43,2025-08-18,2025-08-18,2003-08-01,1.86
44,2025-08-18,2025-08-18,2003-09-01,1.71
45,2025-08-18,2025-08-18,2003-10-01,1.75
46,2025-08-18,2025-08-18,2003-11-01,1.93
