,realtime_start,realtime_end,date,value,NFCI_index
0,2025-07-30,2025-07-30,2000-01-07,-0.18391,-0.18391
1,2025-07-30,2025-07-30,2000-01-14,-0.19519,-0.19519
2,2025-07-30,2025-07-30,2000-01-21,-0.20559,-0.20559
3,2025-07-30,2025-07-30,2000-01-28,-0.21299,-0.21299
4,2025-07-30,2025-07-30,2000-02-04,-0.21491,-0.21491
5,2025-07-30,2025-07-30,2000-02-11,-0.21269,-0.21269
6,2025-07-30,2025-07-30,2000-02-18,-0.20492,-0.20492
7,2025-07-30,2025-07-30,2000-02-25,-0.19207,-0.19207
8,2025-07-30,2025-07-30,2000-03-03,-0.17602,-0.17602
9,2025-07-30,2025-07-30,2000-03-10,-0.15597,-0.15597
10,2025-07-30,2025-07-30,2000-03-17,-0.13376,-0.13376
11,2025-07-30,2025-07-30,2000-03-24,-0.11145,-0.11145
12,2025-07-30,2025-07-30,2000-03-31,-0.09038,-0.09038
13,2025-07-30,2025-07-30,2000-04-07,-0.07426,-0.07426
14,2025-07-30,2025-07-30,2000-04-14,-0.05958,-0.05958
15,2025-07-30,2025-07-30,2000-04-21,-0.04621,-0.04621
16,2025-07-30,2025-07-30,2000-04-28,-0.03185,-0.03185
17,2025-07-30,2025-07-30,2000-05-05,-0.01555,-0.01555
18,2025-07-30,2025-07-30,2000-05-12,0.00015,0.00015
19,2025-07-30,2025-07-30,2000-05-19,0.01482,0.01482
20,2025-07-30,2025-07-30,2000-05-26,0.02733,0.02733
21,2025-07-30,2025-07-30,2000-06-02,0.03509,0.03509
22,2025-07-30,2025-07-30,2000-06-09,0.03656,0.03656
23,2025-07-30,2025-07-30,2000-06-16,0.03202,0.03202
24,2025-07-30,2025-07-30,2000-06-23,0.02019,0.02019
25,2025-07-30,2025-07-30,2000-06-30,0.00201,0.00201
26,2025-07-30,2025-07-30,2000-07-07,-0.02304,-0.02304
27,2025-07-30,2025-07-30,2000-07-14,-0.05252,-0.05252
28,2025-07-30,2025-07-30,2000-07-21,-0.08337,-0.08337
29,2025-07-30,2025-07-30,2000-07-28,-0.11412,-0.11412
30,2025-07-30,2025-07-30,2000-08-04,-0.14245,-0.14245
31,2025-07-30,2025-07-30,2000-08-11,-0.16682,-0.16682
32,2025-07-30,2025-07-30,2000-08-18,-0.18518,-0.18518
33,2025-07-30,2025-07-30,2000-08-25,-0.19759,-0.19759
34,2025-07-30,2025-07-30,2000-09-01,-0.20496,-0.20496
35,2025-07-30,2025-07-30,2000-09-08,-0.20689,-0.20689
36,2025-07-30,2025-07-30,2000-09-15,-0.20542,-0.20542
37,2025-07-30,2025-07-30,2000-09-22,-0.20107,-0.20107
38,2025-07-30,2025-07-30,2000-09-29,-0.19514,-0.19514
39,2025-07-30,2025-07-30,2000-10-06,-0.18847,-0.18847
40,2025-07-30,2025-07-30,2000-10-13,-0.18057,-0.18057
41,2025-07-30,2025-07-30,2000-10-20,-0.17404,-0.17404
42,2025-07-30,2025-07-30,2000-10-27,-0.16722,-0.16722
43,2025-07-30,2025-07-30,2000-11-03,-0.15767,-0.15767
44,2025-07-30,2025-07-30,2000-11-10,-0.14439,-0.14439
45,2025-07-30,2025-07-30,2000-11-17,-0.12662,-0.12662
46,2025-07-30,2025-07-30,2000-11-24,-0.10591,-0.10591
47,2025-07-30,2025-07-30,2000-12-01,-0.08535,-0.08535
48,2025-07-30,2025-07-30,2000-12-08,-0.06965,-0.06965
49,2025-07-30,2025-07-30,2000-12-15,-0.06388,-0.06388
50,2025-07-30,2025-07-30,2000-12-22,-0.06893,-0.06893
51,2025-07-30,2025-07-30,2000-12-29,-0.08925,-0.08925
52,2025-07-30,2025-07-30,2001-01-05,-0.11915,-0.11915
53,2025-07-30,2025-07-30,2001-01-12,-0.15518,-0.15518
