date,spread
2024-09-12,0.0884
2024-09-19,0.2442
2024-09-26,0.2594
2024-10-03,0.1818
2024-10-10,0.2846
2024-10-17,0.2008
2024-10-24,0.0779
2024-10-31,0.086
2024-11-07,0.14
2024-11-14,0.215
2024-11-21,0.081
2024-11-28,-0.016
2024-12-05,0.177
2024-12-12,0.117
2024-12-19,0.093
2024-12-26,0.037
2025-01-02,0.013
2025-01-09,-0.027
2025-01-16,-0.151
2025-01-23,0.14
2025-01-30,0.069
2025-02-06,-0.095
2025-02-13,-0.189
2025-02-20,-0.113
2025-02-27,-0.412
2025-03-06,-0.378
2025-03-13,-0.401
2025-03-20,-0.365
2025-03-27,-0.247
2025-04-03,-0.402
2025-04-10,-0.304
2025-04-17,-0.314
2025-04-24,-0.336
2025-05-01,-0.383
2025-05-08,-0.221
2025-05-15,-0.085
2025-05-22,0.01
2025-05-29,-0.09
2025-06-05,-0.088
2025-06-12,0.031
2025-06-19,-0.082
2025-06-26,-0.052
2025-07-03,0.119
2025-07-10,0.057
2025-07-17,0.003
2025-07-24,0.027
2025-07-31,0.073
2025-08-07,-0.084
2025-08-14,-0.1627
2025-08-21,-0.1396
2025-08-28,-0.0484
2025-09-04,-0.1068
2025-09-11,-0.2145
2025-09-18,-0.0069
2025-09-25,0.0252
2025-10-02,0.0375
2025-10-09,0.1023
2025-10-16,-0.1242
2025-10-23,-0.0579999999999999
2025-10-30,0.0717
2025-11-06,0.017
2025-11-13,-0.1753
2025-11-20,-0.1098
2025-11-27,-0.1068
2025-12-04,0.1349
2025-12-11,0.1401
2025-12-18,0.1094
2026-01-01,0.1504
