,realtime_start,realtime_end,date,value
0,2025-09-16,2025-09-16,1999-01-01,164.7
1,2025-09-16,2025-09-16,1999-02-01,164.7
2,2025-09-16,2025-09-16,1999-03-01,164.8
3,2025-09-16,2025-09-16,1999-04-01,165.9
4,2025-09-16,2025-09-16,1999-05-01,166.0
5,2025-09-16,2025-09-16,1999-06-01,166.0
6,2025-09-16,2025-09-16,1999-07-01,166.7
7,2025-09-16,2025-09-16,1999-08-01,167.1
8,2025-09-16,2025-09-16,1999-09-01,167.8
9,2025-09-16,2025-09-16,1999-10-01,168.1
10,2025-09-16,2025-09-16,1999-11-01,168.4
11,2025-09-16,2025-09-16,1999-12-01,168.8
12,2025-09-16,2025-09-16,2000-01-01,169.3
13,2025-09-16,2025-09-16,2000-02-01,170.0
14,2025-09-16,2025-09-16,2000-03-01,171.0
15,2025-09-16,2025-09-16,2000-04-01,170.9
16,2025-09-16,2025-09-16,2000-05-01,171.2
17,2025-09-16,2025-09-16,2000-06-01,172.2
18,2025-09-16,2025-09-16,2000-07-01,172.7
19,2025-09-16,2025-09-16,2000-08-01,172.7
20,2025-09-16,2025-09-16,2000-09-01,173.6
21,2025-09-16,2025-09-16,2000-10-01,173.9
22,2025-09-16,2025-09-16,2000-11-01,174.2
23,2025-09-16,2025-09-16,2000-12-01,174.6
24,2025-09-16,2025-09-16,2001-01-01,175.6
25,2025-09-16,2025-09-16,2001-02-01,176.0
26,2025-09-16,2025-09-16,2001-03-01,176.1
27,2025-09-16,2025-09-16,2001-04-01,176.4
28,2025-09-16,2025-09-16,2001-05-01,177.3
29,2025-09-16,2025-09-16,2001-06-01,177.7
30,2025-09-16,2025-09-16,2001-07-01,177.4
31,2025-09-16,2025-09-16,2001-08-01,177.4
32,2025-09-16,2025-09-16,2001-09-01,178.1
33,2025-09-16,2025-09-16,2001-10-01,177.6
34,2025-09-16,2025-09-16,2001-11-01,177.5
35,2025-09-16,2025-09-16,2001-12-01,177.4
36,2025-09-16,2025-09-16,2002-01-01,177.7
37,2025-09-16,2025-09-16,2002-02-01,178.0
38,2025-09-16,2025-09-16,2002-03-01,178.5
39,2025-09-16,2025-09-16,2002-04-01,179.3
40,2025-09-16,2025-09-16,2002-05-01,179.5
41,2025-09-16,2025-09-16,2002-06-01,179.6
42,2025-09-16,2025-09-16,2002-07-01,180.0
43,2025-09-16,2025-09-16,2002-08-01,180.5
44,2025-09-16,2025-09-16,2002-09-01,180.8
45,2025-09-16,2025-09-16,2002-10-01,181.2
46,2025-09-16,2025-09-16,2002-11-01,181.5
47,2025-09-16,2025-09-16,2002-12-01,181.8
48,2025-09-16,2025-09-16,2003-01-01,182.6
49,2025-09-16,2025-09-16,2003-02-01,183.6
50,2025-09-16,2025-09-16,2003-03-01,183.9
51,2025-09-16,2025-09-16,2003-04-01,183.2
52,2025-09-16,2025-09-16,2003-05-01,182.9
53,2025-09-16,2025-09-16,2003-06-01,183.1
54,2025-09-16,2025-09-16,2003-07-01,183.7
55,2025-09-16,2025-09-16,2003-08-01,184.5
56,2025-09-16,2025-09-16,2003-09-01,185.1
57,2025-09-16,2025-09-16,2003-10-01,184.9
58,2025-09-16,2025-09-16,2003-11-01,185.0
59,2025-09-16,2025-09-16,2003-12-01,185.5
60,2025-09-16,2025-09-16,2004-01-01,186.3
61,2025-09-16,2025-09-16,2004-02-01,186.7
62,2025-09-16,2025-09-16,2004-03-01,187.1
63,2025-09-16,2025-09-16,2004-04-01,187.4
64,2025-09-16,2025-09-16,2004-05-01,188.2
65,2025-09-16,2025-09-16,2004-06-01,188.9
66,2025-09-16,2025-09-16,2004-07-01,189.1
67,2025-09-16,2025-09-16,2004-08-01,189.2
68,2025-09-16,2025-09-16,2004-09-01,189.8
69,2025-09-16,2025-09-16,2004-10-01,190.8
70,2025-09-16,2025-09-16,2004-11-01,191.7
71,2025-09-16,2025-09-16,2004-12-01,191.7
72,2025-09-16,2025-09-16,2005-01-01,191.6
73,2025-09-16,2025-09-16,2005-02-01,192.4
74,2025-09-16,2025-09-16,2005-03-01,193.1
75,2025-09-16,2025-09-16,2005-04-01,193.7
76,2025-09-16,2025-09-16,2005-05-01,193.6
77,2025-09-16,2025-09-16,2005-06-01,193.7
78,2025-09-16,2025-09-16,2005-07-01,194.9
79,2025-09-16,2025-09-16,2005-08-01,196.1
80,2025-09-16,2025-09-16,2005-09-01,198.8
81,2025-09-16,2025-09-16,2005-10-01,199.1
82,2025-09-16,2025-09-16,2005-11-01,198.1
83,2025-09-16,2025-09-16,2005-12-01,198.1
84,2025-09-16,2025-09-16,2006-01-01,199.3
85,2025-09-16,2025-09-16,2006-02-01,199.4
86,2025-09-16,2025-09-16,2006-03-01,199.7
87,2025-09-16,2025-09-16,2006-04-01,200.7
88,2025-09-16,2025-09-16,2006-05-01,201.3
89,2025-09-16,2025-09-16,2006-06-01,201.8
90,2025-09-16,2025-09-16,2006-07-01,202.9
91,2025-09-16,2025-09-16,2006-08-01,203.8
92,2025-09-16,2025-09-16,2006-09-01,202.8
93,2025-09-16,2025-09-16,2006-10-01,201.9
94,2025-09-16,2025-09-16,2006-11-01,202.0
95,2025-09-16,2025-09-16,2006-12-01,203.1
96,2025-09-16,2025-09-16,2007-01-01,203.437
97,2025-09-16,2025-09-16,2007-02-01,204.226
98,2025-09-16,2025-09-16,2007-03-01,205.288
99,2025-09-16,2025-09-16,2007-04-01,205.904
100,2025-09-16,2025-09-16,2007-05-01,206.755
101,2025-09-16,2025-09-16,2007-06-01,207.234
102,2025-09-16,2025-09-16,2007-07-01,207.603
103,2025-09-16,2025-09-16,2007-08-01,207.667
104,2025-09-16,2025-09-16,2007-09-01,208.547
105,2025-09-16,2025-09-16,2007-10-01,209.19
106,2025-09-16,2025-09-16,2007-11-01,210.834
107,2025-09-16,2025-09-16,2007-12-01,211.445
108,2025-09-16,2025-09-16,2008-01-01,212.174
109,2025-09-16,2025-09-16,2008-02-01,212.687
110,2025-09-16,2025-09-16,2008-03-01,213.448
111,2025-09-16,2025-09-16,2008-04-01,213.942
112,2025-09-16,2025-09-16,2008-05-01,215.208
113,2025-09-16,2025-09-16,2008-06-01,217.463
114,2025-09-16,2025-09-16,2008-07-01,219.016
115,2025-09-16,2025-09-16,2008-08-01,218.69
116,2025-09-16,2025-09-16,2008-09-01,218.877
117,2025-09-16,2025-09-16,2008-10-01,216.995
118,2025-09-16,2025-09-16,2008-11-01,213.153
119,2025-09-16,2025-09-16,2008-12-01,211.398
120,2025-09-16,2025-09-16,2009-01-01,211.933
121,2025-09-16,2025-09-16,2009-02-01,212.705
122,2025-09-16,2025-09-16,2009-03-01,212.495
123,2025-09-16,2025-09-16,2009-04-01,212.709
