,realtime_start,realtime_end,date,value,ECRI_index
0,2025-07-22,2025-07-22,2000-01-01,1.61,1.61
1,2025-07-22,2025-07-22,2000-02-01,1.48,1.48
2,2025-07-22,2025-07-22,2000-03-01,1.88,1.88
3,2025-07-22,2025-07-22,2000-04-01,2.13,2.13
4,2025-07-22,2025-07-22,2000-05-01,1.85,1.85
5,2025-07-22,2025-07-22,2000-06-01,1.26,1.26
6,2025-07-22,2025-07-22,2000-07-01,0.99,0.99
7,2025-07-22,2025-07-22,2000-08-01,1.05,1.05
8,2025-07-22,2025-07-22,2000-09-01,1.06,1.06
9,2025-07-22,2025-07-22,2000-10-01,1.19,1.19
10,2025-07-22,2025-07-22,2000-11-01,0.97,0.97
11,2025-07-22,2025-07-22,2000-12-01,0.80,0.8
12,2025-07-22,2025-07-22,2001-01-01,0.95,0.95
13,2025-07-22,2025-07-22,2001-02-01,0.66,0.66
14,2025-07-22,2025-07-22,2001-03-01,0.46,0.46
15,2025-07-22,2025-07-22,2001-04-01,0.26,0.26
16,2025-07-22,2025-07-22,2001-05-01,0.44,0.44
17,2025-07-22,2025-07-22,2001-06-01,0.60,0.6
18,2025-07-22,2025-07-22,2001-07-01,0.28,0.28
19,2025-07-22,2025-07-22,2001-08-01,0.39,0.39
20,2025-07-22,2025-07-22,2001-09-01,-0.08,-0.08
21,2025-07-22,2025-07-22,2001-10-01,-0.32,-0.32
22,2025-07-22,2025-07-22,2001-11-01,-0.40,-0.4
23,2025-07-22,2025-07-22,2001-12-01,-0.05,-0.05
24,2025-07-22,2025-07-22,2002-01-01,0.53,0.53
25,2025-07-22,2025-07-22,2002-02-01,0.71,0.71
26,2025-07-22,2025-07-22,2002-03-01,0.51,0.51
27,2025-07-22,2025-07-22,2002-04-01,0.61,0.61
28,2025-07-22,2025-07-22,2002-05-01,0.73,0.73
29,2025-07-22,2025-07-22,2002-06-01,0.99,0.99
30,2025-07-22,2025-07-22,2002-07-01,1.12,1.12
31,2025-07-22,2025-07-22,2002-08-01,0.91,0.91
32,2025-07-22,2025-07-22,2002-09-01,0.97,0.97
33,2025-07-22,2025-07-22,2002-10-01,0.88,0.88
34,2025-07-22,2025-07-22,2002-11-01,0.72,0.72
35,2025-07-22,2025-07-22,2002-12-01,0.66,0.66
36,2025-07-22,2025-07-22,2003-01-01,0.91,0.91
37,2025-07-22,2025-07-22,2003-02-01,0.69,0.69
38,2025-07-22,2025-07-22,2003-03-01,0.47,0.47
39,2025-07-22,2025-07-22,2003-04-01,0.26,0.26
40,2025-07-22,2025-07-22,2003-05-01,0.47,0.47
41,2025-07-22,2025-07-22,2003-06-01,0.56,0.56
42,2025-07-22,2025-07-22,2003-07-01,0.93,0.93
43,2025-07-22,2025-07-22,2003-08-01,1.13,1.13
44,2025-07-22,2025-07-22,2003-09-01,1.49,1.49
45,2025-07-22,2025-07-22,2003-10-01,1.56,1.56
46,2025-07-22,2025-07-22,2003-11-01,1.53,1.53
47,2025-07-22,2025-07-22,2003-12-01,1.78,1.78
48,2025-07-22,2025-07-22,2004-01-01,1.51,1.51
49,2025-07-22,2025-07-22,2004-02-01,1.47,1.47
50,2025-07-22,2025-07-22,2004-03-01,1.61,1.61
51,2025-07-22,2025-07-22,2004-04-01,1.64,1.64
52,2025-07-22,2025-07-22,2004-05-01,1.80,1.8
53,2025-07-22,2025-07-22,2004-06-01,1.53,1.53
54,2025-07-22,2025-07-22,2004-07-01,1.57,1.57
55,2025-07-22,2025-07-22,2004-08-01,1.47,1.47
56,2025-07-22,2025-07-22,2004-09-01,1.38,1.38
57,2025-07-22,2025-07-22,2004-10-01,1.38,1.38
58,2025-07-22,2025-07-22,2004-11-01,1.50,1.5
59,2025-07-22,2025-07-22,2004-12-01,1.37,1.37
60,2025-07-22,2025-07-22,2005-01-01,1.16,1.16
61,2025-07-22,2025-07-22,2005-02-01,1.54,1.54
62,2025-07-22,2025-07-22,2005-03-01,1.39,1.39
63,2025-07-22,2025-07-22,2005-04-01,1.64,1.64
64,2025-07-22,2025-07-22,2005-05-01,1.31,1.31
65,2025-07-22,2025-07-22,2005-06-01,1.67,1.67
66,2025-07-22,2025-07-22,2005-07-01,1.68,1.68
67,2025-07-22,2025-07-22,2005-08-01,1.78,1.78
68,2025-07-22,2025-07-22,2005-09-01,1.30,1.3
69,2025-07-22,2025-07-22,2005-10-01,1.35,1.35
70,2025-07-22,2025-07-22,2005-11-01,1.51,1.51
71,2025-07-22,2025-07-22,2005-12-01,1.70,1.7
72,2025-07-22,2025-07-22,2006-01-01,1.85,1.85
73,2025-07-22,2025-07-22,2006-02-01,1.62,1.62
74,2025-07-22,2025-07-22,2006-03-01,1.58,1.58
75,2025-07-22,2025-07-22,2006-04-01,1.43,1.43
76,2025-07-22,2025-07-22,2006-05-01,1.08,1.08
77,2025-07-22,2025-07-22,2006-06-01,1.13,1.13
78,2025-07-22,2025-07-22,2006-07-01,0.72,0.72
79,2025-07-22,2025-07-22,2006-08-01,1.01,1.01
80,2025-07-22,2025-07-22,2006-09-01,0.88,0.88
81,2025-07-22,2025-07-22,2006-10-01,1.08,1.08
82,2025-07-22,2025-07-22,2006-11-01,0.82,0.82
83,2025-07-22,2025-07-22,2006-12-01,1.00,1.0
84,2025-07-22,2025-07-22,2007-01-01,1.28,1.28
85,2025-07-22,2025-07-22,2007-02-01,1.09,1.09
86,2025-07-22,2025-07-22,2007-03-01,1.34,1.34
87,2025-07-22,2025-07-22,2007-04-01,1.04,1.04
88,2025-07-22,2025-07-22,2007-05-01,1.21,1.21
89,2025-07-22,2025-07-22,2007-06-01,0.70,0.7
90,2025-07-22,2025-07-22,2007-07-01,0.51,0.51
91,2025-07-22,2025-07-22,2007-08-01,0.55,0.55
92,2025-07-22,2025-07-22,2007-09-01,0.40,0.4
93,2025-07-22,2025-07-22,2007-10-01,0.61,0.61
94,2025-07-22,2025-07-22,2007-11-01,0.43,0.43
95,2025-07-22,2025-07-22,2007-12-01,0.25,0.25
96,2025-07-22,2025-07-22,2008-01-01,0.41,0.41
97,2025-07-22,2025-07-22,2008-02-01,0.32,0.32
98,2025-07-22,2025-07-22,2008-03-01,0.19,0.19
99,2025-07-22,2025-07-22,2008-04-01,0.18,0.18
100,2025-07-22,2025-07-22,2008-05-01,0.00,0.0
101,2025-07-22,2025-07-22,2008-06-01,-0.12,-0.12
102,2025-07-22,2025-07-22,2008-07-01,-0.41,-0.41
103,2025-07-22,2025-07-22,2008-08-01,-0.79,-0.79
104,2025-07-22,2025-07-22,2008-09-01,-0.60,-0.6
105,2025-07-22,2025-07-22,2008-10-01,-1.18,-1.18
106,2025-07-22,2025-07-22,2008-11-01,-1.77,-1.77
107,2025-07-22,2025-07-22,2008-12-01,-1.88,-1.88
108,2025-07-22,2025-07-22,2009-01-01,-2.32,-2.32
109,2025-07-22,2025-07-22,2009-02-01,-2.29,-2.29
110,2025-07-22,2025-07-22,2009-03-01,-2.65,-2.65
111,2025-07-22,2025-07-22,2009-04-01,-2.21,-2.21
112,2025-07-22,2025-07-22,2009-05-01,-1.29,-1.29
113,2025-07-22,2025-07-22,2009-06-01,-0.77,-0.77
114,2025-07-22,2025-07-22,2009-07-01,-0.21,-0.21
115,2025-07-22,2025-07-22,2009-08-01,-0.06,-0.06
116,2025-07-22,2025-07-22,2009-09-01,0.30,0.3
117,2025-07-22,2025-07-22,2009-10-01,0.17,0.17
118,2025-07-22,2025-07-22,2009-11-01,0.46,0.46
119,2025-07-22,2025-07-22,2009-12-01,0.65,0.65
120,2025-07-22,2025-07-22,2010-01-01,0.54,0.54
121,2025-07-22,2025-07-22,2010-02-01,0.76,0.76
122,2025-07-22,2025-07-22,2010-03-01,1.10,1.1
123,2025-07-22,2025-07-22,2010-04-01,1.14,1.14
124,2025-07-22,2025-07-22,2010-05-01,1.42,1.42
125,2025-07-22,2025-07-22,2010-06-01,1.45,1.45
126,2025-07-22,2025-07-22,2010-07-01,1.41,1.41
127,2025-07-22,2025-07-22,2010-08-01,0.89,0.89
128,2025-07-22,2025-07-22,2010-09-01,0.51,0.51
129,2025-07-22,2025-07-22,2010-10-01,0.79,0.79
130,2025-07-22,2025-07-22,2010-11-01,1.40,1.4
131,2025-07-22,2025-07-22,2010-12-01,1.52,1.52
132,2025-07-22,2025-07-22,2011-01-01,1.43,1.43
133,2025-07-22,2025-07-22,2011-02-01,1.49,1.49
134,2025-07-22,2025-07-22,2011-03-01,1.65,1.65
135,2025-07-22,2025-07-22,2011-04-01,1.53,1.53
136,2025-07-22,2025-07-22,2011-05-01,1.30,1.3
137,2025-07-22,2025-07-22,2011-06-01,1.23,1.23
138,2025-07-22,2025-07-22,2011-07-01,1.31,1.31
139,2025-07-22,2025-07-22,2011-08-01,1.64,1.64
140,2025-07-22,2025-07-22,2011-09-01,1.38,1.38
141,2025-07-22,2025-07-22,2011-10-01,1.56,1.56
142,2025-07-22,2025-07-22,2011-11-01,1.81,1.81
143,2025-07-22,2025-07-22,2011-12-01,1.73,1.73
144,2025-07-22,2025-07-22,2012-01-01,1.97,1.97
145,2025-07-22,2025-07-22,2012-02-01,1.89,1.89
146,2025-07-22,2025-07-22,2012-03-01,1.94,1.94
147,2025-07-22,2025-07-22,2012-04-01,1.82,1.82
148,2025-07-22,2025-07-22,2012-05-01,1.73,1.73
149,2025-07-22,2025-07-22,2012-06-01,1.50,1.5
150,2025-07-22,2025-07-22,2012-07-01,1.47,1.47
151,2025-07-22,2025-07-22,2012-08-01,1.44,1.44
152,2025-07-22,2025-07-22,2012-09-01,1.62,1.62
153,2025-07-22,2025-07-22,2012-10-01,1.82,1.82
154,2025-07-22,2025-07-22,2012-11-01,1.37,1.37
155,2025-07-22,2025-07-22,2012-12-01,1.58,1.58
156,2025-07-22,2025-07-22,2013-01-01,1.71,1.71
157,2025-07-22,2025-07-22,2013-02-01,2.00,2.0
158,2025-07-22,2025-07-22,2013-03-01,1.80,1.8
159,2025-07-22,2025-07-22,2013-04-01,1.71,1.71
160,2025-07-22,2025-07-22,2013-05-01,1.67,1.67
161,2025-07-22,2025-07-22,2013-06-01,1.56,1.56
162,2025-07-22,2025-07-22,2013-07-01,1.54,1.54
163,2025-07-22,2025-07-22,2013-08-01,1.67,1.67
164,2025-07-22,2025-07-22,2013-09-01,1.75,1.75
165,2025-07-22,2025-07-22,2013-10-01,1.39,1.39
166,2025-07-22,2025-07-22,2013-11-01,1.54,1.54
167,2025-07-22,2025-07-22,2013-12-01,1.50,1.5
168,2025-07-22,2025-07-22,2014-01-01,1.85,1.85
169,2025-07-22,2025-07-22,2014-02-01,1.41,1.41
170,2025-07-22,2025-07-22,2014-03-01,1.49,1.49
171,2025-07-22,2025-07-22,2014-04-01,1.79,1.79
172,2025-07-22,2025-07-22,2014-05-01,1.85,1.85
173,2025-07-22,2025-07-22,2014-06-01,1.95,1.95
174,2025-07-22,2025-07-22,2014-07-01,1.92,1.92
175,2025-07-22,2025-07-22,2014-08-01,1.74,1.74
176,2025-07-22,2025-07-22,2014-09-01,1.97,1.97
177,2025-07-22,2025-07-22,2014-10-01,2.04,2.04
178,2025-07-22,2025-07-22,2014-11-01,1.74,1.74
179,2025-07-22,2025-07-22,2014-12-01,2.02,2.02
180,2025-07-22,2025-07-22,2015-01-01,1.70,1.7
181,2025-07-22,2025-07-22,2015-02-01,1.70,1.7
182,2025-07-22,2025-07-22,2015-03-01,1.70,1.7
183,2025-07-22,2025-07-22,2015-04-01,1.71,1.71
184,2025-07-22,2025-07-22,2015-05-01,1.89,1.89
185,2025-07-22,2025-07-22,2015-06-01,1.68,1.68
186,2025-07-22,2025-07-22,2015-07-01,1.84,1.84
187,2025-07-22,2025-07-22,2015-08-01,1.76,1.76
188,2025-07-22,2025-07-22,2015-09-01,1.78,1.78
189,2025-07-22,2025-07-22,2015-10-01,1.59,1.59
190,2025-07-22,2025-07-22,2015-11-01,1.55,1.55
191,2025-07-22,2025-07-22,2015-12-01,1.63,1.63
192,2025-07-22,2025-07-22,2016-01-01,1.40,1.4
193,2025-07-22,2025-07-22,2016-02-01,1.72,1.72
194,2025-07-22,2025-07-22,2016-03-01,1.61,1.61
195,2025-07-22,2025-07-22,2016-04-01,1.56,1.56
196,2025-07-22,2025-07-22,2016-05-01,1.43,1.43
197,2025-07-22,2025-07-22,2016-06-01,1.45,1.45
198,2025-07-22,2025-07-22,2016-07-01,1.50,1.5
199,2025-07-22,2025-07-22,2016-08-01,1.54,1.54
200,2025-07-22,2025-07-22,2016-09-01,1.36,1.36
201,2025-07-22,2025-07-22,2016-10-01,1.27,1.27
202,2025-07-22,2025-07-22,2016-11-01,1.70,1.7
203,2025-07-22,2025-07-22,2016-12-01,1.62,1.62
204,2025-07-22,2025-07-22,2017-01-01,1.73,1.73
205,2025-07-22,2025-07-22,2017-02-01,1.58,1.58
206,2025-07-22,2025-07-22,2017-03-01,1.73,1.73
207,2025-07-22,2025-07-22,2017-04-01,1.59,1.59
208,2025-07-22,2025-07-22,2017-05-01,1.42,1.42
209,2025-07-22,2025-07-22,2017-06-01,1.52,1.52
210,2025-07-22,2025-07-22,2017-07-01,1.43,1.43
211,2025-07-22,2025-07-22,2017-08-01,1.39,1.39
