발표일,시간,실제,예측,이전
2000년 01월 01일 (12월),18:00,57.8,,58.1
2000년 02월 01일 (1월),18:00,56.7,,57.8
2000년 03월 01일 (2월),18:00,55.8,,56.7
2000년 04월 01일 (3월),18:00,54.9,,55.8
2000년 05월 01일 (4월),18:00,54.7,,54.9
2000년 06월 01일 (5월),18:00,53.2,,54.7
2000년 07월 01일 (6월),18:00,51.4,,53.2
2000년 08월 01일 (7월),18:00,52.5,,51.4
2000년 09월 01일 (8월),18:00,49.9,,52.5
2000년 10월 01일 (9월),18:00,49.7,,49.9
2000년 11월 01일 (10월),18:00,48.7,,49.7
2000년 12월 01일 (11월),18:00,48.5,,48.7
2001년 01월 01일 (12월),18:00,43.9,,48.5
2001년 02월 01일 (1월),18:00,42.3,,43.9
2001년 03월 01일 (2월),18:00,42.1,,42.3
2001년 04월 01일 (3월),18:00,43.1,,42.1
2001년 05월 01일 (4월),18:00,42.7,,43.1
2001년 06월 01일 (5월),18:00,41.3,,42.7
2001년 07월 01일 (6월),18:00,43.2,,41.3
2001년 08월 01일 (7월),18:00,43.5,,43.2
2001년 09월 01일 (8월),18:00,46.3,,43.5
2001년 10월 01일 (9월),18:00,46.2,,46.3
2001년 11월 01일 (10월),18:00,40.8,,46.2
2001년 12월 01일 (11월),18:00,44.1,,40.8
2002년 01월 01일 (12월),18:00,45.3,,44.1
2002년 02월 01일 (1월),18:00,47.5,,45.3
2002년 03월 01일 (2월),18:00,50.7,,47.5
2002년 04월 01일 (3월),18:00,52.4,,50.7
2002년 05월 01일 (4월),18:00,52.4,,52.4
2002년 06월 01일 (5월),18:00,53.1,,52.4
2002년 07월 01일 (6월),18:00,53.6,,53.1
2002년 08월 01일 (7월),18:00,50.2,,53.6
2002년 09월 01일 (8월),18:00,50.3,,50.2
2002년 10월 01일 (9월),18:00,50.5,,50.3
2002년 11월 01일 (10월),18:00,49,,50.5
2002년 12월 01일 (11월),18:00,48.5,,49
2003년 01월 01일 (12월),18:00,51.6,,48.5
2003년 02월 01일 (1월),18:00,51.3,,51.6
2003년 03월 01일 (2월),18:00,48.8,,51.3
2003년 04월 01일 (3월),18:00,46.3,,48.8
2003년 05월 01일 (4월),18:00,46.1,,46.3
2003년 06월 01일 (5월),18:00,49,,46.1
2003년 07월 01일 (6월),18:00,49,,49
2003년 08월 01일 (7월),18:00,51,,49
2003년 09월 01일 (8월),18:00,53.2,,51
2003년 10월 01일 (9월),18:00,52.4,,53.2
2003년 11월 01일 (10월),18:00,55.2,,52.4
2003년 12월 01일 (11월),18:00,58.4,,55.2
2004년 01월 01일 (12월),18:00,60.1,,58.4
2004년 02월 01일 (1월),18:00,60.8,,60.1
2004년 03월 01일 (2월),18:00,59.9,,60.8
2004년 04월 01일 (3월),18:00,60.6,,59.9
2004년 05월 01일 (4월),18:00,60.6,,60.6
2004년 06월 01일 (5월),18:00,61.4,,60.6
2004년 07월 01일 (6월),18:00,60.5,,61.4
2004년 08월 01일 (7월),18:00,59.9,,60.5
2004년 09월 01일 (8월),18:00,58.5,,59.9
2004년 10월 01일 (9월),18:00,57.4,,58.5
2004년 11월 01일 (10월),18:00,56.3,,57.4
2004년 12월 01일 (11월),18:00,56.2,,56.3
