date,value
2015-08-01 0:00,99.8
2015-09-01 0:00,99.7
2015-10-01 0:00,99.9
2015-11-01 0:00,100.3
2015-12-01 0:00,100.1
2016-01-01 0:00,99.6
2016-02-01 0:00,99.5
2016-03-01 0:00,99.5
2016-04-01 0:00,99.8
2016-05-01 0:00,99.8
2016-06-01 0:00,99.9
2016-07-01 0:00,100.2
2016-08-01 0:00,100.2
2016-09-01 0:00,100.4
2016-10-01 0:00,100.1
2016-11-01 0:00,100.3
2016-12-01 0:00,100.8
2017-01-01 0:00,101.5
2017-02-01 0:00,101.9
2017-03-01 0:00,102.5
2017-04-01 0:00,102.7
2017-05-01 0:00,103.1
2017-06-01 0:00,103.6
2017-07-01 0:00,103.8
2017-08-01 0:00,104.3
2017-09-01 0:00,104.6
2017-10-01 0:00,105.7
2017-11-01 0:00,106.2
2017-12-01 0:00,106.9
2018-01-01 0:00,107.7
2018-02-01 0:00,108.7
2018-03-01 0:00,109.2
2018-04-01 0:00,109.7
2018-05-01 0:00,110.0
2018-06-01 0:00,110.6
2018-07-01 0:00,111.2
2018-08-01 0:00,111.4
2018-09-01 0:00,112.1
2018-10-01 0:00,112.1
2018-11-01 0:00,112.0
2018-12-01 0:00,111.8
2019-01-01 0:00,111.6
2019-02-01 0:00,112.1
2019-03-01 0:00,112.4
2019-04-01 0:00,112.5
2019-05-01 0:00,112.3
2019-06-01 0:00,112.2
2019-07-01 0:00,112.3
2019-08-01 0:00,112.1
2019-09-01 0:00,111.8
2019-10-01 0:00,111.3
2019-11-01 0:00,111.2
2019-12-01 0:00,110.9
2020-01-01 0:00,111.4
2020-02-01 0:00,111.4
2020-03-01 0:00,106.2
2020-04-01 0:00,100.3
2020-05-01 0:00,102.1
2020-06-01 0:00,104.2
2020-07-01 0:00,105.9
2020-08-01 0:00,106.8
2020-09-01 0:00,107.3
2020-10-01 0:00,107.8
2020-11-01 0:00,108.4
2020-12-01 0:00,109.1
2021-01-01 0:00,109.8
2021-02-01 0:00,109.9
2021-03-01 0:00,110.9
2021-04-01 0:00,112.0
2021-05-01 0:00,112.7
2021-06-01 0:00,113.6
2021-07-01 0:00,114.7
2021-08-01 0:00,115.4
2021-09-01 0:00,115.4
2021-10-01 0:00,116.2
2021-11-01 0:00,116.9
2021-12-01 0:00,117.8
2022-01-01 0:00,117.2
2022-02-01 0:00,117.6
2022-03-01 0:00,117.6
2022-04-01 0:00,116.9
2022-05-01 0:00,115.9
2022-06-01 0:00,115.1
2022-07-01 0:00,114.4
2022-08-01 0:00,114.1
2022-09-01 0:00,113.5
2022-10-01 0:00,112.5
2022-11-01 0:00,111.5
2022-12-01 0:00,110.7
2023-01-01 0:00,110.2
2023-02-01 0:00,109.6
2023-03-01 0:00,108.3
2023-04-01 0:00,107.4
2023-05-01 0:00,106.7
2023-06-01 0:00,106.0
2023-07-01 0:00,105.7
2023-08-01 0:00,105.3
2023-09-01 0:00,104.7
2023-10-01 0:00,103.7
2023-11-01 0:00,103.3
2023-12-01 0:00,103.1
2024-01-01 0:00,102.5
2024-02-01 0:00,102.7
2024-03-01 0:00,102.3
2024-04-01 0:00,101.7
2024-05-01 0:00,101.2
2024-06-01 0:00,101.0
2024-07-01 0:00,100.5
2024-08-01 0:00,100.2
2024-09-01 0:00,99.7
2024-10-01 0:00,101.3
2024-11-01 0:00,101.7
2024-12-01 0:00,101.6
2025-01-01 0:00,101.5
2025-02-01 0:00,101.2
2025-03-01 0:00,100.5
2025-04-01 0:00,99.1
2025-05-01 0:00,99.1
2025-06-01 0:00,98.8
2025-07-01 0:00,98.7
2025-08-01,98.4
2025-09-01,98.3
