,realtime_start,realtime_end,date,value
0,2025-06-26,2025-06-26,2000-01-01,4667.6
1,2025-06-26,2025-06-26,2000-02-01,4680.9
2,2025-06-26,2025-06-26,2000-03-01,4711.7
3,2025-06-26,2025-06-26,2000-04-01,4767.8
4,2025-06-26,2025-06-26,2000-05-01,4755.7
5,2025-06-26,2025-06-26,2000-06-01,4773.6
6,2025-06-26,2025-06-26,2000-07-01,4791.3
7,2025-06-26,2025-06-26,2000-08-01,4819.5
8,2025-06-26,2025-06-26,2000-09-01,4855.3
9,2025-06-26,2025-06-26,2000-10-01,4871.4
10,2025-06-26,2025-06-26,2000-11-01,4882.8
11,2025-06-26,2025-06-26,2000-12-01,4927.7
12,2025-06-26,2025-06-26,2001-01-01,4978.4
13,2025-06-26,2025-06-26,2001-02-01,5017.1
14,2025-06-26,2025-06-26,2001-03-01,5074.9
15,2025-06-26,2025-06-26,2001-04-01,5139.2
16,2025-06-26,2025-06-26,2001-05-01,5137.3
17,2025-06-26,2025-06-26,2001-06-01,5180.3
18,2025-06-26,2025-06-26,2001-07-01,5210.2
19,2025-06-26,2025-06-26,2001-08-01,5243.9
20,2025-06-26,2025-06-26,2001-09-01,5355.3
21,2025-06-26,2025-06-26,2001-10-01,5344.0
22,2025-06-26,2025-06-26,2001-11-01,5387.7
23,2025-06-26,2025-06-26,2001-12-01,5440.7
24,2025-06-26,2025-06-26,2002-01-01,5461.1
25,2025-06-26,2025-06-26,2002-02-01,5490.4
26,2025-06-26,2025-06-26,2002-03-01,5502.2
27,2025-06-26,2025-06-26,2002-04-01,5502.3
28,2025-06-26,2025-06-26,2002-05-01,5528.5
29,2025-06-26,2025-06-26,2002-06-01,5553.5
30,2025-06-26,2025-06-26,2002-07-01,5596.2
31,2025-06-26,2025-06-26,2002-08-01,5638.4
32,2025-06-26,2025-06-26,2002-09-01,5662.5
33,2025-06-26,2025-06-26,2002-10-01,5707.2
34,2025-06-26,2025-06-26,2002-11-01,5758.2
35,2025-06-26,2025-06-26,2002-12-01,5779.5
36,2025-06-26,2025-06-26,2003-01-01,5812.3
37,2025-06-26,2025-06-26,2003-02-01,5848.4
38,2025-06-26,2025-06-26,2003-03-01,5868.6
39,2025-06-26,2025-06-26,2003-04-01,5905.7
40,2025-06-26,2025-06-26,2003-05-01,5965.5
41,2025-06-26,2025-06-26,2003-06-01,6002.4
42,2025-06-26,2025-06-26,2003-07-01,6049.4
43,2025-06-26,2025-06-26,2003-08-01,6107.3
44,2025-06-26,2025-06-26,2003-09-01,6079.9
45,2025-06-26,2025-06-26,2003-10-01,6070.2
46,2025-06-26,2025-06-26,2003-11-01,6075.7
47,2025-06-26,2025-06-26,2003-12-01,6074.0
48,2025-06-26,2025-06-26,2004-01-01,6082.2
49,2025-06-26,2025-06-26,2004-02-01,6121.9
50,2025-06-26,2025-06-26,2004-03-01,6158.0
51,2025-06-26,2025-06-26,2004-04-01,6199.1
52,2025-06-26,2025-06-26,2004-05-01,6275.9
53,2025-06-26,2025-06-26,2004-06-01,6278.1
54,2025-06-26,2025-06-26,2004-07-01,6291.3
55,2025-06-26,2025-06-26,2004-08-01,6317.9
56,2025-06-26,2025-06-26,2004-09-01,6352.3
57,2025-06-26,2025-06-26,2004-10-01,6379.9
58,2025-06-26,2025-06-26,2004-11-01,6406.5
59,2025-06-26,2025-06-26,2004-12-01,6424.7
60,2025-06-26,2025-06-26,2005-01-01,6431.0
61,2025-06-26,2025-06-26,2005-02-01,6439.1
62,2025-06-26,2025-06-26,2005-03-01,6448.4
63,2025-06-26,2025-06-26,2005-04-01,6462.0
64,2025-06-26,2025-06-26,2005-05-01,6479.2
65,2025-06-26,2025-06-26,2005-06-01,6511.8
66,2025-06-26,2025-06-26,2005-07-01,6543.7
67,2025-06-26,2025-06-26,2005-08-01,6576.5
68,2025-06-26,2025-06-26,2005-09-01,6610.3
69,2025-06-26,2025-06-26,2005-10-01,6644.1
70,2025-06-26,2025-06-26,2005-11-01,6660.8
71,2025-06-26,2025-06-26,2005-12-01,6688.0
72,2025-06-26,2025-06-26,2006-01-01,6730.3
73,2025-06-26,2025-06-26,2006-02-01,6754.9
74,2025-06-26,2025-06-26,2006-03-01,6769.5
75,2025-06-26,2025-06-26,2006-04-01,6807.0
76,2025-06-26,2025-06-26,2006-05-01,6813.9
77,2025-06-26,2025-06-26,2006-06-01,6852.1
78,2025-06-26,2025-06-26,2006-07-01,6893.9
79,2025-06-26,2025-06-26,2006-08-01,6925.3
80,2025-06-26,2025-06-26,2006-09-01,6952.6
81,2025-06-26,2025-06-26,2006-10-01,7002.0
82,2025-06-26,2025-06-26,2006-11-01,7037.5
83,2025-06-26,2025-06-26,2006-12-01,7080.4
84,2025-06-26,2025-06-26,2007-01-01,7118.5
85,2025-06-26,2025-06-26,2007-02-01,7134.6
86,2025-06-26,2025-06-26,2007-03-01,7168.5
87,2025-06-26,2025-06-26,2007-04-01,7241.0
88,2025-06-26,2025-06-26,2007-05-01,7254.9
89,2025-06-26,2025-06-26,2007-06-01,7288.1
90,2025-06-26,2025-06-26,2007-07-01,7319.0
91,2025-06-26,2025-06-26,2007-08-01,7395.1
92,2025-06-26,2025-06-26,2007-09-01,7413.3
93,2025-06-26,2025-06-26,2007-10-01,7428.4
94,2025-06-26,2025-06-26,2007-11-01,7453.8
95,2025-06-26,2025-06-26,2007-12-01,7484.2
96,2025-06-26,2025-06-26,2008-01-01,7517.8
97,2025-06-26,2025-06-26,2008-02-01,7604.2
98,2025-06-26,2025-06-26,2008-03-01,7670.3
99,2025-06-26,2025-06-26,2008-04-01,7712.8
100,2025-06-26,2025-06-26,2008-05-01,7725.5
101,2025-06-26,2025-06-26,2008-06-01,7744.2
102,2025-06-26,2025-06-26,2008-07-01,7791.5
103,2025-06-26,2025-06-26,2008-08-01,7806.1
104,2025-06-26,2025-06-26,2008-09-01,7872.7
105,2025-06-26,2025-06-26,2008-10-01,7975.3
106,2025-06-26,2025-06-26,2008-11-01,8027.3
107,2025-06-26,2025-06-26,2008-12-01,8205.0
108,2025-06-26,2025-06-26,2009-01-01,8289.4
109,2025-06-26,2025-06-26,2009-02-01,8319.6
110,2025-06-26,2025-06-26,2009-03-01,8386.7
111,2025-06-26,2025-06-26,2009-04-01,8391.4
112,2025-06-26,2025-06-26,2009-05-01,8449.5
113,2025-06-26,2025-06-26,2009-06-01,8459.5
114,2025-06-26,2025-06-26,2009-07-01,8463.8
115,2025-06-26,2025-06-26,2009-08-01,8463.3
116,2025-06-26,2025-06-26,2009-09-01,8461.8
117,2025-06-26,2025-06-26,2009-10-01,8488.1
118,2025-06-26,2025-06-26,2009-11-01,8517.3
119,2025-06-26,2025-06-26,2009-12-01,8512.5
120,2025-06-26,2025-06-26,2010-01-01,8478.0
121,2025-06-26,2025-06-26,2010-02-01,8527.6
122,2025-06-26,2025-06-26,2010-03-01,8523.7
123,2025-06-26,2025-06-26,2010-04-01,8555.1
124,2025-06-26,2025-06-26,2010-05-01,8609.3
125,2025-06-26,2025-06-26,2010-06-01,8628.4
126,2025-06-26,2025-06-26,2010-07-01,8639.8
127,2025-06-26,2025-06-26,2010-08-01,8688.2
128,2025-06-26,2025-06-26,2010-09-01,8718.9
129,2025-06-26,2025-06-26,2010-10-01,8768.7
130,2025-06-26,2025-06-26,2010-11-01,8789.3
131,2025-06-26,2025-06-26,2010-12-01,8822.9
132,2025-06-26,2025-06-26,2011-01-01,8845.2
133,2025-06-26,2025-06-26,2011-02-01,8909.0
134,2025-06-26,2025-06-26,2011-03-01,8967.0
135,2025-06-26,2025-06-26,2011-04-01,9030.4
136,2025-06-26,2025-06-26,2011-05-01,9102.7
137,2025-06-26,2025-06-26,2011-06-01,9176.7
138,2025-06-26,2025-06-26,2011-07-01,9338.7
139,2025-06-26,2025-06-26,2011-08-01,9525.1
140,2025-06-26,2025-06-26,2011-09-01,9545.3
141,2025-06-26,2025-06-26,2011-10-01,9578.1
142,2025-06-26,2025-06-26,2011-11-01,9629.8
143,2025-06-26,2025-06-26,2011-12-01,9677.4
144,2025-06-26,2025-06-26,2012-01-01,9750.5
145,2025-06-26,2025-06-26,2012-02-01,9802.2
146,2025-06-26,2025-06-26,2012-03-01,9846.2
147,2025-06-26,2025-06-26,2012-04-01,9899.8
148,2025-06-26,2025-06-26,2012-05-01,9943.0
149,2025-06-26,2025-06-26,2012-06-01,10013.0
150,2025-06-26,2025-06-26,2012-07-01,10065.7
151,2025-06-26,2025-06-26,2012-08-01,10136.4
152,2025-06-26,2025-06-26,2012-09-01,10216.6
153,2025-06-26,2025-06-26,2012-10-01,10282.8
154,2025-06-26,2025-06-26,2012-11-01,10351.8
155,2025-06-26,2025-06-26,2012-12-01,10474.4
156,2025-06-26,2025-06-26,2013-01-01,10497.6
157,2025-06-26,2025-06-26,2013-02-01,10516.6
158,2025-06-26,2025-06-26,2013-03-01,10572.9
159,2025-06-26,2025-06-26,2013-04-01,10600.4
160,2025-06-26,2025-06-26,2013-05-01,10634.7
161,2025-06-26,2025-06-26,2013-06-01,10692.3
162,2025-06-26,2025-06-26,2013-07-01,10731.5
163,2025-06-26,2025-06-26,2013-08-01,10789.6
164,2025-06-26,2025-06-26,2013-09-01,10850.0
165,2025-06-26,2025-06-26,2013-10-01,10974.2
166,2025-06-26,2025-06-26,2013-11-01,10982.9
167,2025-06-26,2025-06-26,2013-12-01,11047.8
168,2025-06-26,2025-06-26,2014-01-01,11117.6
169,2025-06-26,2025-06-26,2014-02-01,11183.2
170,2025-06-26,2025-06-26,2014-03-01,11219.1
171,2025-06-26,2025-06-26,2014-04-01,11264.0
172,2025-06-26,2025-06-26,2014-05-01,11328.5
173,2025-06-26,2025-06-26,2014-06-01,11383.7
174,2025-06-26,2025-06-26,2014-07-01,11438.4
175,2025-06-26,2025-06-26,2014-08-01,11462.5
176,2025-06-26,2025-06-26,2014-09-01,11503.7
177,2025-06-26,2025-06-26,2014-10-01,11577.5
178,2025-06-26,2025-06-26,2014-11-01,11618.2
179,2025-06-26,2025-06-26,2014-12-01,11701.9
180,2025-06-26,2025-06-26,2015-01-01,11788.8
181,2025-06-26,2025-06-26,2015-02-01,11905.6
182,2025-06-26,2025-06-26,2015-03-01,11903.7
183,2025-06-26,2025-06-26,2015-04-01,11937.6
184,2025-06-26,2025-06-26,2015-05-01,11965.0
185,2025-06-26,2025-06-26,2015-06-01,12005.6
186,2025-06-26,2025-06-26,2015-07-01,12049.2
187,2025-06-26,2025-06-26,2015-08-01,12093.7
188,2025-06-26,2025-06-26,2015-09-01,12154.8
189,2025-06-26,2025-06-26,2015-10-01,12206.1
190,2025-06-26,2025-06-26,2015-11-01,12297.5
191,2025-06-26,2025-06-26,2015-12-01,12368.7
192,2025-06-26,2025-06-26,2016-01-01,12506.0
193,2025-06-26,2025-06-26,2016-02-01,12578.2
194,2025-06-26,2025-06-26,2016-03-01,12629.0
195,2025-06-26,2025-06-26,2016-04-01,12708.0
196,2025-06-26,2025-06-26,2016-05-01,12775.0
197,2025-06-26,2025-06-26,2016-06-01,12835.4
198,2025-06-26,2025-06-26,2016-07-01,12889.7
199,2025-06-26,2025-06-26,2016-08-01,12973.9
200,2025-06-26,2025-06-26,2016-09-01,13034.2
201,2025-06-26,2025-06-26,2016-10-01,13107.5
202,2025-06-26,2025-06-26,2016-11-01,13181.0
203,2025-06-26,2025-06-26,2016-12-01,13226.1
204,2025-06-26,2025-06-26,2017-01-01,13300.7
205,2025-06-26,2025-06-26,2017-02-01,13367.3
206,2025-06-26,2025-06-26,2017-03-01,13428.7
207,2025-06-26,2025-06-26,2017-04-01,13484.7
208,2025-06-26,2025-06-26,2017-05-01,13536.7
209,2025-06-26,2025-06-26,2017-06-01,13558.5
210,2025-06-26,2025-06-26,2017-07-01,13615.4
211,2025-06-26,2025-06-26,2017-08-01,13674.6
212,2025-06-26,2025-06-26,2017-09-01,13723.0
