Month/Year,Debit Balances in Customers' Securities Margin Accounts,Free Credit Balances in Customers' Cash Accounts,Free Credit Balances in Customers' Securities Margin Accounts
1997-01-01,"103,337","68,856",
1997-02-01,"103,886","67,058",
1997-03-01,"104,835","69,553",
1997-04-01,"102,842","64,825",
1997-05-01,"111,097","66,879",
1997-06-01,"118,843","72,422",
1997-07-01,"121,090","73,714",
1997-08-01,"124,404","71,211",
1997-09-01,"131,962","73,087",
1997-10-01,"134,491","80,287",
1997-11-01,"132,741","77,259",
1997-12-01,"131,560","88,590",
1998-01-01,"132,912","83,362",
1998-02-01,"141,328","81,932",
1998-03-01,"146,536","85,580",
1998-04-01,"146,589","85,771",
1998-05-01,"150,293","80,174",
1998-06-01,"154,357","87,891",
1998-07-01,"160,980","92,687",
1998-08-01,"155,879","100,093",
1998-09-01,"144,541","103,879",
1998-10-01,"138,399","108,179",
1998-11-01,"148,697","108,032",
1998-12-01,"148,674","111,507",
1999-01-01,"162,322","107,200",
1999-02-01,"162,909","109,523",
1999-03-01,"166,212","109,941",
1999-04-01,"184,329","112,290",
1999-05-01,"189,950","114,271",
1999-06-01,"187,695","116,982",
1999-07-01,"189,503","115,017",
1999-08-01,"187,616","117,149",
1999-09-01,"189,741","121,207",
1999-10-01,"194,259","123,457",
1999-11-01,"218,304","131,786",
1999-12-01,"241,967","146,582",
2000-01-01,"260,409","148,567",
2000-02-01,"284,206","153,540",
2000-03-01,"299,933","168,002",
2000-04-01,"268,716","156,868",
2000-05-01,"256,862","153,843",
2000-06-01,"264,471","153,050",
2000-07-01,"263,729","163,050",
2000-08-01,"265,166","156,775",
2000-09-01,"270,208","160,964",
2000-10-01,"250,965","172,738",
2000-11-01,"237,913","186,459",
2000-12-01,"210,385","198,179",
2001-01-01,"208,687","187,225",
2001-02-01,"198,887","193,266",
2001-03-01,"174,797","198,581",
2001-04-01,"176,096","191,145",
2001-05-01,"183,041","183,493",
2001-06-01,"179,585","187,602",
2001-07-01,"173,680","185,100",
2001-08-01,"169,316","191,219",
2001-09-01,"157,931","211,281",
2001-10-01,"152,367","187,012",
2001-11-01,"159,440","188,441",
2001-12-01,"160,473","197,424",
2002-01-01,"160,906","189,841",
2002-02-01,"154,931","186,919",
2002-03-01,"160,089","180,578",
2002-04-01,"159,072","175,730",
2002-05-01,"157,802","173,395",
2002-06-01,"153,972","178,744",
2002-07-01,"143,905","183,326",
2002-08-01,"139,146","174,995",
2002-09-01,"136,107","180,997",
2002-10-01,"138,647","181,069",
2002-11-01,"139,472","176,062",
2002-12-01,"139,451","184,715",
2003-01-01,"141,391","179,528",
2003-02-01,"140,516","179,925",
2003-03-01,"144,267","176,955",
2003-04-01,"143,237","168,756",
2003-05-01,"153,725","178,946",
2003-06-01,"168,281","190,026",
2003-07-01,"174,427","199,973",
2003-08-01,"167,200","188,112",
2003-09-01,"171,194","189,826",
2003-10-01,"175,428","191,554",
2003-11-01,"182,587","184,899",
2003-12-01,"181,459","199,297",
2004-01-01,"189,429","198,628",
2004-02-01,"190,448","200,323",
2004-03-01,"191,451","203,953",
2004-04-01,"198,778","217,992",
2004-05-01,"193,843","219,640",
2004-06-01,"193,993","220,781",
2004-07-01,"187,844","220,196",
2004-08-01,"187,828","217,945",
2004-09-01,"193,668","220,860",
2004-10-01,"197,999","218,090",
2004-11-01,"211,012","223,928",
2004-12-01,"217,573","238,192",
2005-01-01,"220,122","230,624",
2005-02-01,"223,155","224,392",
2005-03-01,"226,876","234,533",
2005-04-01,"217,447","223,839",
2005-05-01,"219,404","224,933",
2005-06-01,"224,153","234,352",
2005-07-01,"233,585","224,242",
2005-08-01,"231,400","225,410",
2005-09-01,"244,669","238,929",
2005-10-01,"239,868","243,174",
2005-11-01,"242,904","241,695",
