date,equity_value,index_value
2025-05-15,0.52,0.82
2025-05-16,0.43,0.96
2025-05-19,0.48,1.16
2025-05-20,0.56,0.92
2025-05-21,0.55,1.1
2025-05-22,0.75,1.06
2025-05-23,0.6,1.25
2025-05-27,0.52,1.16
2025-05-28,0.58,1.03
2025-05-29,0.53,0.91
2025-05-30,0.57,1.07
2025-06-02,0.58,1.04
2025-06-03,0.51,1.06
2025-06-04,0.52,1.03
2025-06-05,0.63,1.08
2025-06-06,0.55,1.18
2025-06-09,0.52,1.11
2025-06-10,0.57,1.12
2025-06-11,0.52,0.98
2025-06-12,0.58,1.12
2025-06-13,0.61,1.03
2025-06-16,0.51,1.06
2025-06-17,0.61,1.1
2025-06-18,0.98,1.18
2025-06-20,0.54,1.21
2025-06-23,0.54,1.23
2025-06-24,0.56,1.03
2025-06-25,0.53,1.02
2025-06-26,0.53,0.97
2025-06-27,0.52,0.9
2025-06-30,0.51,0.99
2025-07-01,0.51,1.08
2025-07-02,0.55,0.98
2025-07-03,0.48,1.01
2025-07-07,0.58,1.14
2025-07-08,0.56,1.07
2025-07-09,0.56,1.1
2025-07-10,0.52,0.98
2025-07-11,0.53,1.16
2025-07-14,0.51,1.15
2025-07-15,0.57,1.1
2025-07-16,0.53,1.05
2025-07-17,0.65,1.03
2025-07-18,0.48,1.02
2025-07-21,0.51,1.04
2025-07-22,0.55,1.18
2025-07-23,0.55,1.01
2025-07-24,0.57,1.15
2025-07-25,0.72,1.16
2025-07-28,0.58,1.13
2025-07-29,0.57,1.26
2025-08-01,0.75,1.0
2025-08-04,0.61,1.06
2025-08-05,0.58,1.24
2025-08-06,0.62,1.04
2025-08-07,0.57,0.97
2025-08-11,0.64,0.98
2025-08-12,0.6,1.04
2025-08-15,0.48,1.05
2025-08-18,0.5,1.04
2025-08-19,0.59,1.19
2025-08-20,0.66,0.98
2025-08-21,0.62,1.13
2025-08-22,0.5,0.99
2025-08-25,0.55,1.16
2025-08-26,0.55,1.2
2025-08-27,0.53,0.85
2025-08-29,0.56,0.92
2025-09-02,0.68,1.04
2025-09-03,0.61,1.03
2025-09-04,0.62,1.23
2025-09-05,0.58,0.8
2025-09-08,0.63,1.01
2025-09-09,0.54,1.12
2025-09-11,0.68,1.02
2025-09-12,0.58,1.13
2025-09-15,0.54,1.27
2025-09-16,0.54,0.93
2025-09-17,0.6,1.11
2025-09-18,0.54,1.05
2025-09-19,0.45,1.2
2025-09-22,0.48,1.02
2025-09-23,0.47,1.21
2025-09-24,0.51,1.16
2025-09-25,0.56,1.19
2025-09-26,0.51,1.12
2025-09-29,0.52,0.92
2025-09-30,0.58,1.14
2025-10-01,0.48,1.04
2025-10-02,0.47,1.11
2025-10-03,0.6,1.1
2025-10-06,0.45,1.03
2025-10-07,0.5,1.1
2025-10-08,0.5,1.0
2025-10-09,0.54,1.05
2025-10-10,0.69,1.19
2025-10-13,0.55,0.98
2025-10-14,0.49,1.14
2025-10-15,0.48,1.0
2025-10-16,0.56,1.18
2025-10-17,0.72,1.07
2025-10-20,0.5,1.14
2025-10-21,0.48,1.24
2025-10-22,0.53,1.07
2025-10-24,0.52,1.07
2025-10-27,0.46,0.99
2025-10-28,0.47,0.92
2025-10-29,0.44,1.05
2025-10-30,0.57,1.14
2025-10-31,0.55,1.02
2025-11-04,0.66,0.99
2025-11-05,0.57,1.05
2025-11-06,0.56,1.14
2025-11-07,0.63,1.19
2025-11-10,0.49,1.08
2025-11-11,0.7,0.94
2025-11-12,0.56,0.95
