,realtime_start,realtime_end,date,value,umcsent_index
0,2025-07-02,2025-07-02,2000-01-01,112.0,112.0
1,2025-07-02,2025-07-02,2000-02-01,111.3,111.3
2,2025-07-02,2025-07-02,2000-03-01,107.1,107.1
3,2025-07-02,2025-07-02,2000-04-01,109.2,109.2
4,2025-07-02,2025-07-02,2000-05-01,110.7,110.7
5,2025-07-02,2025-07-02,2000-06-01,106.4,106.4
6,2025-07-02,2025-07-02,2000-07-01,108.3,108.3
7,2025-07-02,2025-07-02,2000-08-01,107.3,107.3
8,2025-07-02,2025-07-02,2000-09-01,106.8,106.8
9,2025-07-02,2025-07-02,2000-10-01,105.8,105.8
10,2025-07-02,2025-07-02,2000-11-01,107.6,107.6
11,2025-07-02,2025-07-02,2000-12-01,98.4,98.4
12,2025-07-02,2025-07-02,2001-01-01,94.7,94.7
13,2025-07-02,2025-07-02,2001-02-01,90.6,90.6
14,2025-07-02,2025-07-02,2001-03-01,91.5,91.5
15,2025-07-02,2025-07-02,2001-04-01,88.4,88.4
16,2025-07-02,2025-07-02,2001-05-01,92.0,92.0
17,2025-07-02,2025-07-02,2001-06-01,92.6,92.6
18,2025-07-02,2025-07-02,2001-07-01,92.4,92.4
19,2025-07-02,2025-07-02,2001-08-01,91.5,91.5
20,2025-07-02,2025-07-02,2001-09-01,81.8,81.8
21,2025-07-02,2025-07-02,2001-10-01,82.7,82.7
22,2025-07-02,2025-07-02,2001-11-01,83.9,83.9
23,2025-07-02,2025-07-02,2001-12-01,88.8,88.8
24,2025-07-02,2025-07-02,2002-01-01,93.0,93.0
25,2025-07-02,2025-07-02,2002-02-01,90.7,90.7
26,2025-07-02,2025-07-02,2002-03-01,95.7,95.7
27,2025-07-02,2025-07-02,2002-04-01,93.0,93.0
28,2025-07-02,2025-07-02,2002-05-01,96.9,96.9
29,2025-07-02,2025-07-02,2002-06-01,92.4,92.4
30,2025-07-02,2025-07-02,2002-07-01,88.1,88.1
31,2025-07-02,2025-07-02,2002-08-01,87.6,87.6
32,2025-07-02,2025-07-02,2002-09-01,86.1,86.1
33,2025-07-02,2025-07-02,2002-10-01,80.6,80.6
34,2025-07-02,2025-07-02,2002-11-01,84.2,84.2
35,2025-07-02,2025-07-02,2002-12-01,86.7,86.7
36,2025-07-02,2025-07-02,2003-01-01,82.4,82.4
37,2025-07-02,2025-07-02,2003-02-01,79.9,79.9
38,2025-07-02,2025-07-02,2003-03-01,77.6,77.6
39,2025-07-02,2025-07-02,2003-04-01,86.0,86.0
40,2025-07-02,2025-07-02,2003-05-01,92.1,92.1
41,2025-07-02,2025-07-02,2003-06-01,89.7,89.7
42,2025-07-02,2025-07-02,2003-07-01,90.9,90.9
43,2025-07-02,2025-07-02,2003-08-01,89.3,89.3
