,realtime_start,realtime_end,date,value,unemployment_rate
0,2025-07-22,2025-07-22,2000-01-01,4.0,4.0
1,2025-07-22,2025-07-22,2000-02-01,4.1,4.1
2,2025-07-22,2025-07-22,2000-03-01,4.0,4.0
3,2025-07-22,2025-07-22,2000-04-01,3.8,3.8
4,2025-07-22,2025-07-22,2000-05-01,4.0,4.0
5,2025-07-22,2025-07-22,2000-06-01,4.0,4.0
6,2025-07-22,2025-07-22,2000-07-01,4.0,4.0
7,2025-07-22,2025-07-22,2000-08-01,4.1,4.1
8,2025-07-22,2025-07-22,2000-09-01,3.9,3.9
9,2025-07-22,2025-07-22,2000-10-01,3.9,3.9
10,2025-07-22,2025-07-22,2000-11-01,3.9,3.9
11,2025-07-22,2025-07-22,2000-12-01,3.9,3.9
12,2025-07-22,2025-07-22,2001-01-01,4.2,4.2
13,2025-07-22,2025-07-22,2001-02-01,4.2,4.2
14,2025-07-22,2025-07-22,2001-03-01,4.3,4.3
15,2025-07-22,2025-07-22,2001-04-01,4.4,4.4
16,2025-07-22,2025-07-22,2001-05-01,4.3,4.3
17,2025-07-22,2025-07-22,2001-06-01,4.5,4.5
18,2025-07-22,2025-07-22,2001-07-01,4.6,4.6
19,2025-07-22,2025-07-22,2001-08-01,4.9,4.9
20,2025-07-22,2025-07-22,2001-09-01,5.0,5.0
21,2025-07-22,2025-07-22,2001-10-01,5.3,5.3
22,2025-07-22,2025-07-22,2001-11-01,5.5,5.5
23,2025-07-22,2025-07-22,2001-12-01,5.7,5.7
24,2025-07-22,2025-07-22,2002-01-01,5.7,5.7
25,2025-07-22,2025-07-22,2002-02-01,5.7,5.7
26,2025-07-22,2025-07-22,2002-03-01,5.7,5.7
27,2025-07-22,2025-07-22,2002-04-01,5.9,5.9
28,2025-07-22,2025-07-22,2002-05-01,5.8,5.8
29,2025-07-22,2025-07-22,2002-06-01,5.8,5.8
30,2025-07-22,2025-07-22,2002-07-01,5.8,5.8
31,2025-07-22,2025-07-22,2002-08-01,5.7,5.7
32,2025-07-22,2025-07-22,2002-09-01,5.7,5.7
33,2025-07-22,2025-07-22,2002-10-01,5.7,5.7
34,2025-07-22,2025-07-22,2002-11-01,5.9,5.9
35,2025-07-22,2025-07-22,2002-12-01,6.0,6.0
36,2025-07-22,2025-07-22,2003-01-01,5.8,5.8
37,2025-07-22,2025-07-22,2003-02-01,5.9,5.9
38,2025-07-22,2025-07-22,2003-03-01,5.9,5.9
39,2025-07-22,2025-07-22,2003-04-01,6.0,6.0
40,2025-07-22,2025-07-22,2003-05-01,6.1,6.1
41,2025-07-22,2025-07-22,2003-06-01,6.3,6.3
42,2025-07-22,2025-07-22,2003-07-01,6.2,6.2
43,2025-07-22,2025-07-22,2003-08-01,6.1,6.1
44,2025-07-22,2025-07-22,2003-09-01,6.1,6.1
45,2025-07-22,2025-07-22,2003-10-01,6.0,6.0
46,2025-07-22,2025-07-22,2003-11-01,5.8,5.8
47,2025-07-22,2025-07-22,2003-12-01,5.7,5.7
48,2025-07-22,2025-07-22,2004-01-01,5.7,5.7
49,2025-07-22,2025-07-22,2004-02-01,5.6,5.6
50,2025-07-22,2025-07-22,2004-03-01,5.8,5.8
51,2025-07-22,2025-07-22,2004-04-01,5.6,5.6
52,2025-07-22,2025-07-22,2004-05-01,5.6,5.6
53,2025-07-22,2025-07-22,2004-06-01,5.6,5.6
54,2025-07-22,2025-07-22,2004-07-01,5.5,5.5
55,2025-07-22,2025-07-22,2004-08-01,5.4,5.4
56,2025-07-22,2025-07-22,2004-09-01,5.4,5.4
57,2025-07-22,2025-07-22,2004-10-01,5.5,5.5
58,2025-07-22,2025-07-22,2004-11-01,5.4,5.4
59,2025-07-22,2025-07-22,2004-12-01,5.4,5.4
60,2025-07-22,2025-07-22,2005-01-01,5.3,5.3
61,2025-07-22,2025-07-22,2005-02-01,5.4,5.4
62,2025-07-22,2025-07-22,2005-03-01,5.2,5.2
63,2025-07-22,2025-07-22,2005-04-01,5.2,5.2
64,2025-07-22,2025-07-22,2005-05-01,5.1,5.1
65,2025-07-22,2025-07-22,2005-06-01,5.0,5.0
66,2025-07-22,2025-07-22,2005-07-01,5.0,5.0
67,2025-07-22,2025-07-22,2005-08-01,4.9,4.9
68,2025-07-22,2025-07-22,2005-09-01,5.0,5.0
